Herb Name,Parts Used in Treatment,Disease,Symptoms/Condition,Therapeutic Uses,Formulation,Dosage (mg),Administration Guidelines,Pharmacological Property,Side Effects,Prakriti,Dosha
Tulsi,Seed,Arthritis,Fatigue,Immune Booster,Tablets,193,Mix with honey,Adaptogenic,Stomach Upset,Kapha,Vata
Ashwagandha,Flower,Respiratory Issues,Fever,Immune Booster,Churna,613,Take on an empty stomach,Adaptogenic,None,Pitta-Kapha,Kapha
Triphala,Bark,Skin Diseases,Skin Rashes,Detoxification,Capsules,384,Take with warm water,Antifungal,Mild Nausea,Tridosha,Pitta
Ashwagandha,Leaf,Digestive Disorders,Anxiety,Immune Booster,Capsules,701,Consume after meals,Antibacterial,Stomach Upset,Vata-Kapha,Vata
Shatavari,Bark,Inflammation,Joint Pain,Detoxification,Churna,729,Consume after meals,Antipyretic,None,Pitta-Kapha,Kapha
Ashwagandha,Flower,Skin Diseases,Anxiety,Anti-inflammatory,Oil,303,Mix with honey,Analgesic,Mild Nausea,Pitta,Pitta
Neem,Root,Skin Diseases,Anxiety,Immune Booster,Capsules,292,Take on an empty stomach,Antipyretic,None,Tridosha,Kapha
Triphala,Leaf,Arthritis,Cough,Mental Calmness,Powder,738,Take with warm water,Adaptogenic,Stomach Upset,Vata-Pitta,Pitta
Haritaki,Seed,Inflammation,Anxiety,Immune Booster,Decoction,132,Mix with honey,Antiviral,Mild Nausea,Vata,Kapha
Ashwagandha,Flower,Skin Diseases,Fever,Antioxidant,Decoction,289,Take on an empty stomach,Antifungal,None,Pitta,Vata
Brahmi,Flower,Digestive Disorders,Anxiety,Digestive Aid,Powder,151,Take with warm water,Antifungal,Allergic Reaction,Kapha,Vata
Triphala,Flower,Mental Stress,Anxiety,Antioxidant,Tablets,665,Consume after meals,Adaptogenic,None,Vata,Vata
Ashwagandha,Flower,Mental Stress,Skin Rashes,Anti-inflammatory,Churna,470,Take with warm water,Antiviral,Mild Nausea,Pitta,Kapha
Tulsi,Bark,Inflammation,Fatigue,Detoxification,Capsules,553,Take with warm water,Antifungal,Stomach Upset,Kapha,Vata
Manjistha,Flower,Diabetes,Indigestion,Mental Calmness,Decoction,422,Consume after meals,Antibacterial,None,Vata,Pitta
Manjistha,Bark,Respiratory Issues,Anxiety,Digestive Aid,Powder,202,Mix with honey,Antipyretic,None,Vata-Kapha,Vata
Manjistha,Fruit,Digestive Disorders,Skin Rashes,Mental Calmness,Capsules,723,Take with warm water,Analgesic,None,Vata,Kapha
Tulsi,Flower,Digestive Disorders,Skin Rashes,Anti-inflammatory,Decoction,367,Mix with honey,Analgesic,Drowsiness,Vata-Kapha,Kapha
Neem,Root,Respiratory Issues,Skin Rashes,Detoxification,Tablets,439,Consume after meals,Analgesic,None,Kapha,Kapha
Shatavari,Leaf,Arthritis,Fever,Digestive Aid,Powder,896,Mix with honey,Antibacterial,None,Pitta-Kapha,Vata
Brahmi,Root,Arthritis,Joint Pain,Digestive Aid,Powder,859,Take with warm water,Antipyretic,None,Pitta,Vata
Neem,Seed,Digestive Disorders,Indigestion,Anti-inflammatory,Churna,264,Mix with honey,Adaptogenic,Drowsiness,Kapha,Pitta
Neem,Bark,Skin Diseases,Indigestion,Antioxidant,Powder,835,Take on an empty stomach,Antiviral,None,Kapha,Vata
Shatavari,Flower,Skin Diseases,Cough,Digestive Aid,Churna,259,Take on an empty stomach,Analgesic,Allergic Reaction,Vata-Pitta,Kapha
Haritaki,Seed,Inflammation,Skin Rashes,Anti-inflammatory,Powder,926,Take with warm water,Analgesic,Mild Nausea,Vata,Kapha
Guggul,Seed,Skin Diseases,Fever,Digestive Aid,Powder,721,Take with warm water,Analgesic,Drowsiness,Kapha,Kapha
Tulsi,Fruit,Diabetes,Indigestion,Immune Booster,Capsules,587,Take on an empty stomach,Adaptogenic,Allergic Reaction,Vata-Pitta,Kapha
Haritaki,Root,Digestive Disorders,Anxiety,Antioxidant,Oil,789,Take on an empty stomach,Adaptogenic,Mild Nausea,Vata-Pitta,Vata
Shatavari,Fruit,Skin Diseases,Fever,Anti-inflammatory,Powder,145,Consume after meals,Antipyretic,Mild Nausea,Pitta,Kapha
Amla,Leaf,Respiratory Issues,Anxiety,Immune Booster,Churna,617,Consume after meals,Adaptogenic,None,Kapha,Vata
Guggul,Root,Mental Stress,Fever,Digestive Aid,Tablets,740,Mix with honey,Antipyretic,Stomach Upset,Kapha,Vata
Amla,Root,Respiratory Issues,Headache,Mental Calmness,Powder,292,Take on an empty stomach,Analgesic,None,Kapha,Kapha
Brahmi,Fruit,Inflammation,Fever,Antioxidant,Oil,809,Take on an empty stomach,Analgesic,Mild Nausea,Kapha,Kapha
Neem,Root,Skin Diseases,Fatigue,Immune Booster,Decoction,549,Take with warm water,Antiviral,Allergic Reaction,Vata,Vata
Tulsi,Bark,Arthritis,Headache,Mental Calmness,Oil,559,Mix with honey,Analgesic,None,Tridosha,Pitta
Haritaki,Seed,Mental Stress,Fatigue,Digestive Aid,Capsules,130,Take with warm water,Antipyretic,None,Tridosha,Vata
Haritaki,Flower,Respiratory Issues,Indigestion,Mental Calmness,Tablets,134,Take on an empty stomach,Antiviral,Stomach Upset,Vata-Kapha,Kapha
Neem,Root,Diabetes,Joint Pain,Immune Booster,Powder,774,Take with warm water,Antibacterial,Stomach Upset,Vata-Pitta,Vata
Amla,Flower,Mental Stress,Indigestion,Digestive Aid,Capsules,974,Take on an empty stomach,Adaptogenic,None,Vata,Vata
Haritaki,Leaf,Respiratory Issues,Headache,Antioxidant,Oil,969,Consume after meals,Adaptogenic,Stomach Upset,Pitta-Kapha,Kapha
Manjistha,Fruit,Diabetes,Fatigue,Antioxidant,Tablets,945,Take on an empty stomach,Antiviral,Drowsiness,Vata-Pitta,Pitta
Brahmi,Bark,Respiratory Issues,Indigestion,Digestive Aid,Powder,544,Mix with honey,Adaptogenic,Allergic Reaction,Pitta,Vata
Triphala,Bark,Arthritis,Indigestion,Antioxidant,Capsules,211,Consume after meals,Adaptogenic,None,Kapha,Kapha
Ashwagandha,Fruit,Mental Stress,Cough,Immune Booster,Tablets,873,Take with warm water,Analgesic,Allergic Reaction,Vata-Pitta,Pitta
Brahmi,Seed,Arthritis,Joint Pain,Detoxification,Decoction,218,Mix with honey,Antibacterial,Allergic Reaction,Pitta,Vata
Amla,Bark,Diabetes,Skin Rashes,Anti-inflammatory,Churna,812,Mix with honey,Analgesic,Drowsiness,Pitta,Kapha
Triphala,Fruit,Inflammation,Cough,Anti-inflammatory,Decoction,817,Take on an empty stomach,Antiviral,Stomach Upset,Pitta,Vata
Triphala,Flower,Mental Stress,Skin Rashes,Digestive Aid,Capsules,262,Take with warm water,Antibacterial,None,Kapha,Kapha
Amla,Bark,Mental Stress,Anxiety,Immune Booster,Oil,726,Take with warm water,Adaptogenic,Mild Nausea,Pitta-Kapha,Vata
Haritaki,Fruit,Mental Stress,Cough,Detoxification,Decoction,531,Consume after meals,Antiviral,Mild Nausea,Vata-Pitta,Vata
Amla,Flower,Diabetes,Anxiety,Detoxification,Churna,344,Mix with honey,Antifungal,Drowsiness,Kapha,Pitta
Neem,Flower,Mental Stress,Cough,Detoxification,Churna,801,Take on an empty stomach,Analgesic,None,Tridosha,Vata
Amla,Seed,Arthritis,Cough,Detoxification,Decoction,857,Mix with honey,Antifungal,Mild Nausea,Vata-Pitta,Kapha
Triphala,Flower,Mental Stress,Skin Rashes,Anti-inflammatory,Churna,589,Mix with honey,Analgesic,Drowsiness,Vata-Kapha,Kapha
Amla,Bark,Arthritis,Headache,Anti-inflammatory,Decoction,410,Consume after meals,Antipyretic,Mild Nausea,Kapha,Pitta
Ashwagandha,Flower,Mental Stress,Fever,Anti-inflammatory,Oil,239,Take with warm water,Antiviral,None,Vata,Vata
Ashwagandha,Leaf,Respiratory Issues,Anxiety,Immune Booster,Oil,384,Mix with honey,Adaptogenic,Stomach Upset,Pitta-Kapha,Vata
Haritaki,Root,Mental Stress,Skin Rashes,Antioxidant,Powder,948,Mix with honey,Antipyretic,None,Pitta-Kapha,Vata
Manjistha,Flower,Digestive Disorders,Skin Rashes,Digestive Aid,Powder,315,Take on an empty stomach,Adaptogenic,Mild Nausea,Vata,Kapha
Neem,Seed,Skin Diseases,Anxiety,Detoxification,Decoction,823,Take on an empty stomach,Antipyretic,Allergic Reaction,Pitta,Vata
Neem,Fruit,Digestive Disorders,Fever,Antioxidant,Tablets,150,Consume after meals,Antiviral,Drowsiness,Pitta-Kapha,Kapha
Tulsi,Fruit,Arthritis,Anxiety,Mental Calmness,Churna,339,Take on an empty stomach,Antifungal,Allergic Reaction,Tridosha,Vata
Triphala,Flower,Respiratory Issues,Fatigue,Mental Calmness,Powder,796,Take on an empty stomach,Analgesic,Drowsiness,Vata-Kapha,Vata
Neem,Root,Diabetes,Fever,Antioxidant,Powder,442,Take on an empty stomach,Antiviral,Allergic Reaction,Pitta-Kapha,Pitta
Manjistha,Leaf,Skin Diseases,Indigestion,Detoxification,Tablets,786,Mix with honey,Analgesic,Drowsiness,Pitta,Vata
Manjistha,Flower,Inflammation,Headache,Detoxification,Churna,738,Take with warm water,Antifungal,Drowsiness,Vata,Vata
Triphala,Flower,Arthritis,Anxiety,Mental Calmness,Tablets,300,Consume after meals,Antipyretic,Mild Nausea,Tridosha,Kapha
Shatavari,Root,Respiratory Issues,Cough,Mental Calmness,Powder,649,Mix with honey,Adaptogenic,Allergic Reaction,Vata,Pitta
Amla,Seed,Arthritis,Joint Pain,Digestive Aid,Decoction,779,Take on an empty stomach,Antifungal,None,Pitta,Pitta
Shatavari,Fruit,Skin Diseases,Fever,Detoxification,Powder,977,Consume after meals,Adaptogenic,Drowsiness,Vata-Kapha,Kapha
Ashwagandha,Fruit,Diabetes,Skin Rashes,Detoxification,Decoction,542,Take with warm water,Antifungal,Allergic Reaction,Pitta-Kapha,Vata
Ashwagandha,Bark,Mental Stress,Headache,Mental Calmness,Oil,602,Mix with honey,Antifungal,None,Vata,Pitta
Amla,Root,Diabetes,Joint Pain,Digestive Aid,Capsules,156,Mix with honey,Antifungal,Allergic Reaction,Pitta-Kapha,Vata
Neem,Bark,Skin Diseases,Cough,Immune Booster,Capsules,327,Mix with honey,Antiviral,Allergic Reaction,Vata-Pitta,Vata
Amla,Seed,Digestive Disorders,Anxiety,Antioxidant,Decoction,170,Mix with honey,Analgesic,Mild Nausea,Vata,Vata
Amla,Root,Digestive Disorders,Anxiety,Anti-inflammatory,Tablets,658,Mix with honey,Antiviral,Allergic Reaction,Tridosha,Vata
Manjistha,Leaf,Arthritis,Skin Rashes,Detoxification,Decoction,311,Consume after meals,Analgesic,Drowsiness,Kapha,Vata
Neem,Root,Digestive Disorders,Skin Rashes,Immune Booster,Decoction,964,Take on an empty stomach,Analgesic,Drowsiness,Vata-Pitta,Vata
Ashwagandha,Bark,Inflammation,Fever,Immune Booster,Tablets,765,Consume after meals,Antifungal,None,Tridosha,Pitta
Haritaki,Fruit,Respiratory Issues,Headache,Antioxidant,Capsules,188,Mix with honey,Adaptogenic,Mild Nausea,Tridosha,Pitta
Shatavari,Bark,Digestive Disorders,Headache,Antioxidant,Capsules,116,Consume after meals,Antibacterial,Drowsiness,Kapha,Pitta
Manjistha,Flower,Arthritis,Anxiety,Detoxification,Tablets,830,Mix with honey,Analgesic,None,Pitta-Kapha,Vata
Manjistha,Seed,Respiratory Issues,Joint Pain,Immune Booster,Churna,576,Mix with honey,Antibacterial,None,Vata-Pitta,Pitta
Guggul,Leaf,Diabetes,Cough,Antioxidant,Powder,384,Take on an empty stomach,Analgesic,Mild Nausea,Vata,Pitta
Ashwagandha,Fruit,Inflammation,Fatigue,Mental Calmness,Churna,595,Take on an empty stomach,Analgesic,None,Vata,Kapha
Tulsi,Leaf,Skin Diseases,Headache,Anti-inflammatory,Decoction,362,Mix with honey,Antiviral,Allergic Reaction,Tridosha,Pitta
Manjistha,Seed,Digestive Disorders,Headache,Digestive Aid,Tablets,688,Take with warm water,Antipyretic,None,Tridosha,Pitta
Manjistha,Seed,Arthritis,Cough,Mental Calmness,Churna,234,Consume after meals,Antipyretic,None,Vata-Kapha,Vata
Manjistha,Fruit,Inflammation,Indigestion,Immune Booster,Powder,180,Consume after meals,Antiviral,Allergic Reaction,Vata-Kapha,Pitta
Haritaki,Flower,Arthritis,Skin Rashes,Digestive Aid,Decoction,120,Take on an empty stomach,Antifungal,Allergic Reaction,Pitta-Kapha,Pitta
Guggul,Bark,Respiratory Issues,Cough,Mental Calmness,Powder,184,Mix with honey,Antiviral,Allergic Reaction,Vata-Kapha,Pitta
Tulsi,Leaf,Arthritis,Headache,Mental Calmness,Capsules,561,Take with warm water,Antiviral,Stomach Upset,Tridosha,Kapha
Triphala,Bark,Skin Diseases,Anxiety,Immune Booster,Decoction,465,Mix with honey,Analgesic,Drowsiness,Pitta,Vata
Manjistha,Root,Mental Stress,Joint Pain,Immune Booster,Tablets,901,Consume after meals,Adaptogenic,Allergic Reaction,Vata,Vata
Manjistha,Seed,Respiratory Issues,Fever,Anti-inflammatory,Powder,578,Consume after meals,Analgesic,None,Vata-Pitta,Vata
Triphala,Root,Respiratory Issues,Headache,Anti-inflammatory,Churna,257,Mix with honey,Antipyretic,None,Vata,Kapha
Ashwagandha,Seed,Digestive Disorders,Cough,Digestive Aid,Powder,879,Take on an empty stomach,Antipyretic,None,Tridosha,Kapha
Tulsi,Seed,Skin Diseases,Indigestion,Mental Calmness,Powder,741,Take with warm water,Antiviral,None,Vata,Pitta
Neem,Bark,Diabetes,Fatigue,Digestive Aid,Oil,407,Mix with honey,Analgesic,Allergic Reaction,Tridosha,Vata
Neem,Fruit,Inflammation,Anxiety,Antioxidant,Capsules,158,Consume after meals,Adaptogenic,Mild Nausea,Pitta-Kapha,Vata
Guggul,Root,Arthritis,Indigestion,Detoxification,Powder,984,Take with warm water,Antipyretic,None,Pitta,Vata
Neem,Bark,Inflammation,Skin Rashes,Immune Booster,Decoction,865,Consume after meals,Antipyretic,Stomach Upset,Vata-Kapha,Kapha
Amla,Bark,Inflammation,Fever,Antioxidant,Powder,912,Take on an empty stomach,Antipyretic,Drowsiness,Vata-Kapha,Kapha
Haritaki,Leaf,Skin Diseases,Fatigue,Antioxidant,Churna,666,Consume after meals,Analgesic,Allergic Reaction,Vata-Kapha,Kapha
Brahmi,Fruit,Inflammation,Joint Pain,Detoxification,Capsules,762,Take with warm water,Antipyretic,None,Vata,Vata
Tulsi,Bark,Diabetes,Cough,Digestive Aid,Decoction,141,Consume after meals,Antibacterial,Stomach Upset,Vata,Kapha
Triphala,Bark,Diabetes,Fever,Immune Booster,Decoction,873,Take on an empty stomach,Antibacterial,Stomach Upset,Pitta,Vata
Amla,Root,Diabetes,Cough,Anti-inflammatory,Oil,390,Take with warm water,Antibacterial,Mild Nausea,Vata,Pitta
Neem,Root,Respiratory Issues,Joint Pain,Mental Calmness,Capsules,283,Mix with honey,Adaptogenic,None,Vata-Kapha,Vata
Triphala,Root,Arthritis,Fever,Digestive Aid,Tablets,605,Take with warm water,Adaptogenic,Mild Nausea,Vata-Kapha,Pitta
Brahmi,Root,Respiratory Issues,Headache,Digestive Aid,Powder,180,Take with warm water,Antiviral,None,Vata,Pitta
Brahmi,Seed,Respiratory Issues,Cough,Anti-inflammatory,Powder,158,Consume after meals,Antipyretic,Stomach Upset,Vata-Pitta,Pitta
Amla,Fruit,Skin Diseases,Indigestion,Immune Booster,Tablets,139,Take on an empty stomach,Analgesic,None,Vata,Pitta
Haritaki,Root,Mental Stress,Fever,Anti-inflammatory,Decoction,805,Take on an empty stomach,Antipyretic,None,Pitta-Kapha,Vata
Guggul,Bark,Respiratory Issues,Skin Rashes,Digestive Aid,Tablets,740,Take on an empty stomach,Adaptogenic,Stomach Upset,Vata,Kapha
Shatavari,Bark,Respiratory Issues,Cough,Immune Booster,Powder,999,Mix with honey,Analgesic,Mild Nausea,Pitta-Kapha,Pitta
Neem,Bark,Skin Diseases,Fatigue,Mental Calmness,Oil,647,Take on an empty stomach,Antipyretic,None,Pitta,Vata
Neem,Leaf,Inflammation,Cough,Mental Calmness,Churna,841,Mix with honey,Adaptogenic,None,Tridosha,Vata
Neem,Fruit,Inflammation,Fatigue,Antioxidant,Churna,955,Mix with honey,Antipyretic,None,Kapha,Vata
Amla,Flower,Mental Stress,Anxiety,Anti-inflammatory,Churna,944,Take on an empty stomach,Antifungal,Allergic Reaction,Kapha,Kapha
Shatavari,Bark,Respiratory Issues,Cough,Mental Calmness,Capsules,430,Take on an empty stomach,Analgesic,Allergic Reaction,Pitta,Pitta
Neem,Fruit,Digestive Disorders,Skin Rashes,Detoxification,Powder,416,Take on an empty stomach,Analgesic,Stomach Upset,Kapha,Kapha
Triphala,Root,Inflammation,Fever,Detoxification,Capsules,560,Mix with honey,Adaptogenic,Mild Nausea,Vata-Kapha,Pitta
Shatavari,Seed,Diabetes,Joint Pain,Anti-inflammatory,Oil,685,Take with warm water,Antibacterial,None,Kapha,Vata
Amla,Bark,Mental Stress,Headache,Mental Calmness,Oil,156,Take with warm water,Adaptogenic,Allergic Reaction,Vata-Kapha,Kapha
Manjistha,Flower,Mental Stress,Fatigue,Antioxidant,Churna,952,Take with warm water,Antipyretic,None,Vata-Pitta,Pitta
Haritaki,Flower,Mental Stress,Indigestion,Immune Booster,Oil,110,Consume after meals,Adaptogenic,Drowsiness,Vata-Pitta,Vata
Amla,Leaf,Digestive Disorders,Fever,Anti-inflammatory,Oil,903,Consume after meals,Antifungal,Drowsiness,Kapha,Vata
Triphala,Fruit,Mental Stress,Headache,Immune Booster,Oil,810,Consume after meals,Analgesic,None,Vata-Pitta,Kapha
Haritaki,Flower,Inflammation,Joint Pain,Anti-inflammatory,Powder,906,Mix with honey,Antifungal,None,Vata-Pitta,Vata
Shatavari,Bark,Skin Diseases,Joint Pain,Anti-inflammatory,Decoction,602,Take on an empty stomach,Adaptogenic,None,Vata,Vata
Shatavari,Flower,Digestive Disorders,Anxiety,Mental Calmness,Oil,412,Take with warm water,Antibacterial,Drowsiness,Vata-Kapha,Vata
Guggul,Root,Respiratory Issues,Fever,Antioxidant,Churna,959,Take on an empty stomach,Adaptogenic,None,Tridosha,Pitta
Guggul,Fruit,Diabetes,Fatigue,Antioxidant,Tablets,318,Take with warm water,Analgesic,None,Vata-Kapha,Kapha
Neem,Flower,Arthritis,Cough,Detoxification,Churna,560,Take on an empty stomach,Analgesic,Mild Nausea,Kapha,Kapha
Neem,Leaf,Inflammation,Skin Rashes,Antioxidant,Churna,489,Mix with honey,Antiviral,None,Vata,Vata
Brahmi,Root,Respiratory Issues,Fatigue,Mental Calmness,Tablets,303,Take on an empty stomach,Analgesic,Stomach Upset,Tridosha,Vata
Neem,Fruit,Digestive Disorders,Fever,Mental Calmness,Decoction,894,Take on an empty stomach,Antifungal,Mild Nausea,Kapha,Vata
Neem,Flower,Respiratory Issues,Fatigue,Immune Booster,Churna,710,Take with warm water,Antiviral,None,Vata,Vata
Shatavari,Flower,Skin Diseases,Cough,Immune Booster,Capsules,554,Mix with honey,Antipyretic,Stomach Upset,Pitta-Kapha,Vata
