Disease,Hindi Name,Marathi Name,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Sleep Patterns,Stress Levels,Physical Activity Levels,Family History,Dietary Habits,Allergies (Food/Env),Seasonal Variation,Age Group,Gender,Occupation and Lifestyle,Cultural Preferences,Herbal/Alternative Remedies,Ayurvedic Herbs,Formulation,Doshas,Constitution/Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Prognosis,Complications,Patient Recommendations,Scientific Research
Obesity,मोटापा,"स्थूलता ,लठ्ठपणा","Weight gain, lethargy","BMI, Blood tests, Waist-to-hip ratio",Moderate to Severe,"Variable, long-term","Diabetes, Hypertension",Weight loss medications,"Overeating, Sedentary lifestyle","Overeating, Sedentary lifestyle",Irregular Sleep,High Stress,Low to Moderate,Family History of Obesity,"High-calorie, Low-nutrient",None,All seasons,30-50 years,Both genders,Sedentary lifestyle,"Low-fat, low-sugar preference","Green tea, Garcinia Cambogia","Guggul, Triphala","Guggulu (500mg), Warm water (200ml)",Kapha,Kapha,Avoid heavy and oily foods; focus on exercise; eat light dinners.,"Surya Namaskar, Walking",Weight loss medications,"Exercise, Diet control","Chronic, manageable","Heart disease, Diabetes","Exercise, balanced diet",Research on weight loss
Skin Allergy,त्वचा एलर्जी,त्वचा एलर्जी,"Itchy rash, redness","Skin tests, Blood tests",Moderate to Severe,1-2 weeks,"Asthma, Eczema, Hay fever","Antihistamines, Topical creams","Allergies, Genetics","Dust, Pollen, Chemicals",Poor Sleep,High Stress,Low,Family History of Allergies,"High-protein, Low-dairy","Dust, Pollen","Winter, Spring",All ages,Both genders,Exposure to allergens,Avoids scented products,"Aloe Vera, Chamomile","Neem, Tulsi","Aloe vera gel (fresh, 2 tsp)",Pitta,Pitta,Avoid allergens; wear loose clothing; consume cooling foods.,"Anulom Vilom, Pranayama","Antihistamines, Steroids",Avoid allergens,Usually mild,"Eczema, Rash","Avoid triggers, moisturize",Ongoing research on skin health
Anxiety,चिंता,चिंता,"Excessive worry, restlessness","Psychological evaluation, Blood tests",Moderate to Severe,2-4 weeks,"Stress, Trauma, Depression","Antidepressants, Benzodiazepines","Stress, Trauma, Family history","Overwork, Personal issues",Poor Sleep,High Stress,Low to Moderate,Family History of Anxiety,"Balanced diet, Low caffeine",None,All seasons,20-40 years,Mostly Female,High-stress job,Favors holistic practices,"Lavender oil, Ashwagandha","Brahmi, Ashwagandha","Ashwagandha (1 tsp), Tulsi (5 leaves)","Vata, Pitta",Vata-Pitta,Practice yoga; avoid stimulants; focus on mindfulness.,"Meditation, Deep Breathing","Antidepressants, CBT","Stress management, Exercise",Chronic,"Depression, Panic attacks","Relaxation, therapy",Clinical studies on treatments
Fever,बुखार,ताप,"High temperature, body aches","Physical exam, Blood tests",Mild to Severe,3-5 days,"Viral infections, Infections","Antipyretics, Fluids","Infection, Immune weakness","Infections, Viral outbreaks",Irregular Sleep,Moderate Stress,Low,Family History of Fever,Balanced diet,None,"Winter, Monsoon",All ages,Both genders,"Sedentary, Dependent on season",Avoids cold foods,"Ginger, Honey","Tulsi, Ginger","Coriander seeds (1 tsp), Ginger (1g)","Pitta, Kapha",Pitta,"Rest; stay hydrated; consume light, warm meals.","Surya Namaskar, Pranayama","Antipyretics, Fluids","Rest, Hydration",Usually mild,"Sepsis, Organ failure","Hydration, rest",Research on immune responses
Acidity,अम्लपित्त,आम्लपित्त,"Heartburn, sour taste, nausea","Endoscopy, pH monitoring",Mild to Moderate,1-3 days,"Poor diet, Stress, Spicy foods","Antacids, Proton pump inhibitors","Spicy foods, Alcohol","Overeating, Stress, Spicy foods",Poor Sleep,High Stress,Low,Family history of Acid reflux,"Spicy, Oily foods","Dairy, Caffeine",All seasons,All ages,Both genders,"Office job, High stress",Avoids spicy foods,"Ginger, Fennel","Amla, Ajwain","Aloe vera (10ml), Water (200ml)",Pitta,Pitta-Prakriti,Avoid spicy foods; eat cooling foods like cucumber.,"Yogasanas, Pranayama","Antacids, PPIs","Avoid spicy foods, smaller meals",Usually mild,"GERD, Esophagitis",Eat smaller meals,Studies on acid reflux
Acne,मुँहासे,पिंपल्स,"Pimples, blackheads, oily skin","Skin exam, Hormonal tests, Blood tests",Mild to Moderate,2-4 weeks,"Hormonal imbalance, Poor hygiene","Topical creams, Antibiotics","Hormones, Stress, Diet","Pollution, Oily skin",Irregular Sleep,High Stress,Moderate,Family history of Acne,"Oily, High-sugar diet","Dairy, Chocolate",All seasons,"Teenagers, 20s",Both genders,"Active, College/Teen lifestyle",Avoids greasy foods,"Tea tree oil, Aloe Vera","Neem, Turmeric","Neem leaves (5g), Water (10ml)",Pitta,Pitta-Prakriti,Avoid fried foods; include turmeric and green vegetables.,"Anulom Vilom, Kapalbhati","Topical treatments, Antibiotics","Clean skin, avoid triggers",Usually mild,"Scarring, Skin infections","Healthy diet, proper skincare",Ongoing research on skin treatments
Acromegaly,एक्रोमेगाली,एक्रोमेगाली,"Enlarged hands/feet, thickened skin","MRI, Blood tests (GH levels)",Severe,Long-term,Pituitary gland tumors,"Hormone replacement, Surgery","Pituitary tumor, Genetics","Genetic mutations, Tumors",Poor Sleep,Moderate Stress,Low,Family History of Endocrine disorders,"High-protein, Low-fat",None,All seasons,30-60 years,Both genders,Sedentary lifestyle,Avoids processed foods,None known,"Ashwagandha, Brahmi",Ashwagandha (3g daily),"Pitta, Kapha",Kapha-Prakriti,"Avoid heavy meals; consume balanced, nutrient-rich foods.",Yoga for joint flexibility,"Surgery, Medication",Regular check-ups,Chronic,"Cardiovascular disease, Arthritis",Monitor hormone levels,Research on hormonal therapy
Acute Kidney Injury,तीव्र किडनी क्षति,तीव्र मूत्रमार्ग विकार,"Reduced urine output, swelling, confusion","Blood Tests, Urine Tests",Severe,"Varies, depends on cause","Diabetes, Hypertension, Trauma","Diuretics, Dialysis","Dehydration, Hypertension","Dehydration, High blood pressure",Irregular Sleep,High Stress,Low,Family History of Kidney disease,"Low-salt, High-water intake",None,All seasons,All ages,Both genders,"High-risk jobs (e.g., construction)",Favors fresh foods,"Nettle Leaf, Dandelion","Punarnava, Gokshura","Punarnava (3g), Warm water (200ml)","Kapha, Pitta",Kapha-Pitta,Avoid salty and processed foods; stay hydrated.,"Pranayama, Surya Namaskar","Dialysis, Kidney Transplant",Avoid Nephrotoxic Drugs,"Recovery possible, may need dialysis",Chronic Kidney Disease,Monitor Kidney Function,Research on Kidney Injury and Repair
Addison's Disease,एडिसन रोग,एडिसन रोग,"Fatigue, low blood pressure, weight loss","Blood Tests, ACTH Stimulation",Severe,Lifelong,"Autoimmune disorders, Tuberculosis","Steroid replacement, Hormone therapy","Autoimmune Diseases, Stress","Stress, Infections",Irregular Sleep,High Stress,Low,Family History of Autoimmune diseases,"Low-sodium, High-potassium",None,"Winter, Rainy",30-60 years,Both genders,"Sedentary lifestyle, Medical jobs",Avoids cold environments,"Licorice Root, Ashwagandha","Ashwagandha, Licorice","Licorice root (2g), Warm water (200ml)","Vata, Pitta",Vata-Pitta,"Include salty foods; consume small, frequent meals.","Gentle Yoga, Restorative Practices",Hormone Replacement Therapy,"Avoid Stress, Adequate Rest",Manageable with Lifelong Treatment,Adrenal Crisis,Regular Monitoring of Hormone Levels,Research on Cortisol Replacement
Adrenal Insufficiency,एड्रेनल अपर्याप्तता,अधिवृद्धी रोग,"Fatigue, muscle weakness, low energy","Blood Tests, ACTH Stimulation",Severe,Lifelong,"Autoimmune diseases, Tuberculosis","Steroid replacement, Hormone therapy","Autoimmune Diseases, Infection","Stress, Infections",Poor Sleep,High Stress,Low,Family History of Endocrine disorders,"Low-sodium, High-potassium",None,All seasons,30-60 years,Both genders,"Sedentary lifestyle, Medical jobs",Avoids cold environments,"Ashwagandha, Rhodiola","Ashwagandha, Licorice","Ashwagandha (2g), Warm water (200ml)",Vata,Vata-Prakriti,Avoid stress; practice yoga and meditation.,Yoga for Stress Relief,Hormone Replacement Therapy,Stress Management,Manageable with Medication,Adrenal Crisis,Regular Medication,Research on Adrenal Gland Disorders
Alkaptonuria,अल्काप्टोन्यूरिया,अल्काप्टोन्यूरिया,"Dark urine, joint pain, stiffness",Urine Test (Homogentisic Acid),Mild to Moderate,Lifelong,"Genetic, Metabolic disorders","Pain relievers, Vitamin C",Genetic Mutation,"Genetic mutation, High protein intake",Irregular Sleep,Moderate Stress,Low,Family history of metabolic disorders,"High-protein, Low-fat",None,All seasons,Childhood to Adult,Both genders,Active lifestyle,Avoids foods high in phenylalanine,None specific,"Guggulu, Ashwagandha","Turmeric (1/2 tsp), Milk (200ml)","Vata, Kapha",Vata-Kapha,Avoid heavy meals; perform light exercises and consume warm meals.,"Gentle Yoga, Joint Exercises","Symptomatic Treatment, Joint Replacements",None,"Progressive, with Joint Damage",Osteoarthritis,Avoid High-Protein Diet,Research on Enzyme Replacement
Allergies,एलर्जी,एलर्जी,"Sneezing, itching, rashes","Skin Test, Blood Test",Moderate to Severe,"Varies, depends on allergen","Asthma, Eczema, Hay fever, Pollen exposure","Antihistamines, Topical creams","Family History, Environmental Allergens","Dust, Pollen, Chemicals, Pollution",Poor Sleep,High Stress,Low,Family History of Allergies,"High-protein, Low-dairy","Dust, Pollen","Winter, Spring",All ages,Both genders,Exposure to allergens,Avoids scented products,"Local Honey, Echinacea","Brahmi, Ashwagandha","Tulsi leaves (5g), Warm water (200ml)","Vata, Kapha",Vata-Kapha,Avoid cold foods; include herbal teas in the diet.,"Pranayama, Breathing Exercises","Antihistamines, Steroids","Avoid Triggers, Air Filters",Can be Managed with Treatment,"Anaphylaxis, Asthma",Avoid Allergen Exposure,Research on Allergy Treatments
Alopecia,गंजापन,गंजेपण,"Hair loss, thinning of scalp","Scalp Biopsy, Blood Tests",Moderate to Severe,Varies,"Genetic, Autoimmune conditions","Topical treatments, Steroid creams","Genetics, Hormonal Imbalance","Genetic, Stress",Irregular Sleep,High Stress,Low,Family history of hair loss,"Balanced diet, High-protein",None,All seasons,20-50 years,Both genders,Stressful lifestyle,Avoids chemical treatments,"Ginseng, Fenugreek","Bhringraj, Amla",Bhringraj oil (as needed),Pitta,Pitta-Prakriti,Avoid spicy foods; massage scalp regularly with herbal oils.,"Gentle Yoga, Head Massage","Topical Steroids, Minoxidil",Healthy Diet,Can be Reversed with Treatment,"Scarring, Hair Thinning",Regular Scalp Massage,Research on Hair Regrowth Treatments
Alzheimer's Disease,अल्जाइमर रोग,अल्झायमर रोग,"Memory loss, confusion, difficulty thinking","Cognitive Tests, MRI, PET Scan",Severe,"Progressive, Lifelong","Family history of dementia, Age-related",Acetylcholinesterase inhibitors,"Age, Genetics, Family History","Genetic predisposition, Aging",Poor Sleep,High Stress,Low,Family History of Dementia,"Low-fat, High-antioxidant",None,All seasons,60+ years,Both genders,"Sedentary lifestyle, Aging",Avoids processed foods,"Ginkgo Biloba, Turmeric","Brahmi, Ashwagandha","Brahmi (3g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Include brain-boosting herbs like Brahmi; engage in memory exercises.,"Meditation, Memory Exercises","Cholinesterase Inhibitors, Memantine","Mental Stimulation, Diet","Progressive, Declines Over Time","Memory Loss, Dementia",Cognitive Exercises,Research on Alzheimer's Treatment
Amebiasis,एमेबायसिस,एमेबायसिस,"Abdominal pain, diarrhea, fever","Stool Test, Blood Test",Moderate to Severe,"Varies, depending on severity","Travel to endemic areas, Poor sanitation",Antiprotozoal drugs,"Contaminated Water, Poor Sanitation","Poor sanitation, Contaminated water",Irregular Sleep,Moderate Stress,Low,Family history of infections,"Low-fat, High-carb diet",None,"Monsoon, Summer",All ages,Both genders,Travel to endemic areas,Avoids raw food,"Papaya Seeds, Garlic","Kutki, Triphala","Pomegranate rind (5g), Warm water (200ml)","Pitta, Kapha",Pitta-Kapha,Avoid raw foods; consume easily digestible meals.,Yoga for Digestion,Antiprotozoal Drugs,Safe Drinking Water,Treatable with Medication,"Dehydration, Liver Abscess",Good Hygiene Practices,Research on Anti-parasitic Drugs
Amyotrophic Lateral Sclerosis (ALS),एएमीट्रोफिक लेटरल स्क्लेरोसिस,एएमीट्रोफिक लेटरल स्क्लेरोसिस,"Muscle weakness, difficulty swallowing, speech problems","Electromyography (EMG), MRI",Severe,"Progressive, Lifelong","Genetic, Progressive neurological disorder","Riluzole, Muscle relaxants","Genetics, Environmental Toxins","Genetic mutation, Environmental toxins",Poor Sleep,High Stress,Low,Family History of ALS,"High-protein, Low-fat",None,All seasons,40-70 years,Mostly Male,"Sedentary lifestyle, Work stress",Avoids smoking,None specific,"Ashwagandha, Brahmi","Shankhpushpi (10ml), Water (200ml)",Vata,Vata-Prakriti,Avoid stress; include grounding and nourishing foods.,"Gentle Yoga, Stretching","Supportive Care, Riluzole",None,"Progressive, Fatal within 3-5 Years","Respiratory Failure, Paralysis",Physical Therapy for Mobility,Research on ALS Treatment Options
Anxiety,चिंता,चिंता,"Restlessness, nervousness, rapid breathing","Psychological Evaluation, Blood Tests",Moderate to Severe,"Varies, depends on severity","Stress, Trauma, Depression, Genetic factors","Antidepressants, Benzodiazepines","Stress, Genetics, Trauma","Overwork, Personal issues",Poor Sleep,High Stress,Low to Moderate,Family History of Anxiety,"Balanced diet, Low caffeine",None,All seasons,20-40 years,Mostly Female,High-stress job,Favors holistic practices,"Lavender Oil, Chamomile Tea","Ashwagandha, Brahmi","Jatamansi (3g), Warm water (200ml)",Vata,Vata-Prakriti,Avoid caffeine; practice mindfulness and relaxation techniques.,"Pranayama, Meditation","Antidepressants, Therapy","Stress Management, Relaxation",Manageable with Treatment,"Panic Attacks, Insomnia",Practice Relaxation,Research on Anxiety Disorders
Argininemia,आर्जिनिनेमिया,आर्जिनिनेमिया,"Muscle weakness, intellectual disability","Blood Tests, Urine Tests",Mild to Severe,Lifelong,Genetic metabolic disorders,"Arginine restriction, Dietary management",Genetic Mutation,"Genetic, High-protein intake",Irregular Sleep,Moderate Stress,Low,Family history of metabolic disorders,"High-protein, Low-fat",None,All seasons,Childhood,Both genders,Active lifestyle,Avoids foods high in arginine,None specific,None specific,"Brahmi (2g), Warm water (200ml)",Vata,Vata-Prakriti,Include protein-restricted diet; practice stress management.,None specific,"Arginine Supplements, Low-Protein Diet",Low-Protein Diet,Can be Managed with Diet,"Cognitive Impairment, Liver Damage",Regular Monitoring of Arginine Levels,Research on Genetic Disorders
Argininosuccinic Aciduria,आर्जिनिनोस्यूसीनिक एसिड्यूरिया,आर्जिनिनोस्यूसीनिक एसिड्यूरिया,"Poor growth, intellectual disability","Blood Tests, Urine Tests",Severe,Lifelong,Genetic metabolic disorders,"Arginine restriction, Dietary management",Genetic Mutation,"Genetic, High-protein intake",Irregular Sleep,Moderate Stress,Low,Family history of metabolic disorders,"High-protein, Low-fat",None,All seasons,Childhood to Adult,Both genders,Active lifestyle,Avoids foods high in arginine,None specific,None specific,"Amalaki (10ml), Water (200ml)","Pitta, Vata",Pitta-Prakriti,Avoid high-protein foods; consume fresh fruits and vegetables.,None specific,"Arginine Supplements, Low-Protein Diet",Low-Protein Diet,Can be Managed with Diet,"Cognitive Impairment, Liver Damage",Regular Monitoring of Arginine Levels,Research on Genetic Disorders
Arrhythmia,अरिदमिकता,अरिदमिकता,"Irregular heartbeat, palpitations, dizziness","Electrocardiogram (ECG), Holter Monitor",Moderate to Severe,Lifelong,"Heart diseases, Hypertension","Beta-blockers, Calcium channel blockers","Heart Disease, Electrolyte Imbalance","High caffeine intake, Sedentary lifestyle",Poor Sleep,High Stress,Low to Moderate,Family history of heart disease,"Low-sodium, High-potassium",None,All seasons,40-70 years,Both genders,"Sedentary lifestyle, Desk jobs",Avoids alcohol and smoking,"Hawthorn, Magnesium","Arjuna, Brahmi","Arjuna bark (3g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Avoid caffeine; include grounding foods and practice meditation.,"Pranayama, Surya Namaskar","Antiarrhythmic Drugs, Pacemaker",Heart Health Monitoring,Manageable with Treatment,"Stroke, Heart Failure",Monitor Heart Rate,Research on Arrhythmia Treatments
Arthritis,गठिया,संधिवात,"Joint pain, stiffness, swelling","X-rays, Blood Tests",Moderate to Severe,Lifelong,"Autoimmune diseases, Joint inflammation","NSAIDs, Corticosteroids","Age, Family History","Weather changes, Joint strain",Poor Sleep,High Stress,Low to Moderate,Family history of joint disorders,"Anti-inflammatory, High-calcium",None,"Winter, Rainy season",30-60 years,Both genders,"Sedentary lifestyle, Active",Avoids heavy physical activity,"Turmeric, Ginger","Guggulu, Ashwagandha","Turmeric (1/2 tsp), Milk (200ml)","Vata, Kapha",Vata-Kapha,"Avoid cold foods; consume warm, cooked meals and do light exercises.",Yoga for Flexibility,"NSAIDs, Joint Injections","Exercise, Healthy Diet",Can be Managed,"Joint Deformity, Stiffness",Weight Management,Research on Joint Health
Ascariasis,ऐस्केरियासिस,ऐस्केरियासिस,"Abdominal pain, nausea, intestinal discomfort","Stool Test, Blood Tests",Moderate to Severe,Varies,"Poor sanitation, Contaminated water","Anthelmintics (Mebendazole, Albendazole)","Poor Sanitation, Contaminated Food","Poor sanitation, Contaminated food",Irregular Sleep,Moderate Stress,Low,Family history of parasitic infections,"Low-fat, High-carb diet",None,"Monsoon, Summer",All ages,Both genders,Exposure to unsanitary conditions,Avoids raw food,None specific,"Haritaki, Trifala","Neem leaves (5g), Warm water (200ml)","Kapha, Pitta",Kapha-Prakriti,Avoid raw and contaminated foods; focus on hygiene.,Yoga for Digestion,Anthelmintics,Safe Drinking Water,Treatable with Medication,"Intestinal Obstruction, Malnutrition",Good Hygiene Practices,Research on Parasitic Infections
Asparagine Synthetase Deficiency,ऐस्पैरेजिन सिंथेटेस की कमी,ऐस्पैरेजिन सिंथेटेसची कमतरता,"Developmental delays, epilepsy","Blood Tests, Genetic Testing",Severe,Lifelong,Genetic metabolic disorders,"Enzyme replacement, Dietary management",Genetic Mutation,Genetic mutation,Irregular Sleep,Moderate Stress,Low,Family history of metabolic disorders,"High-protein, Low-fat",None,All seasons,Childhood,Both genders,"Active lifestyle, Special care",Avoids high-protein foods,None specific,None specific,"Brahmi (10ml), Water (200ml)",Vata,Vata-Prakriti,"Avoid processed foods; provide a nutrient-rich, balanced diet.",None specific,"Supportive Care, Diet Management",None,"Progressive, with Cognitive Decline",Intellectual Disabilities,Genetic Counseling,Research on Genetic Disorders
Aspartylglucosaminuria,एस्पार्टाइलग्लूकोसामिन्यूरिया,एस्पार्टाइलग्लूकोसामिन्यूरिया,"Growth delay, intellectual disability","Urine Test, Genetic Testing",Severe,Lifelong,Genetic metabolic disorders,"Enzyme replacement, Symptomatic treatment",Genetic Mutation,"Genetic mutation, Poor protein metabolism",Irregular Sleep,Moderate Stress,Low,Family history of metabolic disorders,"High-protein, Low-carb",None,All seasons,Childhood to Adult,Both genders,"Active lifestyle, Medical care",Avoids high-protein foods,None specific,None specific,"Ashwagandha (2g), Warm water (200ml)",Vata,Vata-Prakriti,Avoid heavy foods; provide fresh fruits and vegetables.,None specific,"Supportive Care, Diet Management",None,"Progressive, with Cognitive Decline",Intellectual Disabilities,Genetic Counseling,Research on Genetic Disorders
Asthma,अस्थमा,अस्थमा,"Wheezing, shortness of breath, chest tightness","Spirometry, Chest X-ray",Mild to Severe,Lifelong,"Allergies, Respiratory infections","Inhalers (Beta-agonists, Corticosteroids)","Allergies, Air Pollution","Pollen, Dust, Pollution",Irregular Sleep,High Stress,Low to Moderate,Family history of asthma,"Low-dairy, High-protein","Dust, Pollen, Pollution","Winter, Spring",All ages,Both genders,Exposure to allergens,Favors natural remedies,"Eucalyptus, Honey","Brahmi, Tulsi","Tulsi leaves (3g), Ginger (1g), Warm water (200ml)","Kapha, Vata",Kapha-Vata,Avoid cold and damp environments; practice pranayama regularly.,"Pranayama, Kapalbhati","Inhalers, Corticosteroids",Avoid Triggers,Manageable with Care,Asthma Attacks,"Avoid Cold, Allergens",Research on Asthma Medications
