Herb Name,Parts Used in Treatment,Disease,Symptoms/Condition,Therapeutic Uses,Formulation,Dosage (mg),Administration Guidelines,Pharmacological Property,Side Effects,Prakriti,Dosha
Brahmi,Root,Hypertension,Fatigue,Immune Booster,Decoction,299,Consume after meals,Anti-hypertensive,Stomach Upset,Vata-Kapha,Pitta
Manjistha,Leaf,Liver Disorders,Indigestion,Mental Calmness,Powder,689,Consume after meals,Antifungal,Headache,Tridosha,Vata
Shatavari,Leaf,Diabetes,Anxiety,Detoxification,Capsules,349,Mix with honey,Anti-inflammatory,Diarrhea,Vata-Pitta,Pitta
Neem,Leaf,Respiratory Issues,Indigestion,Anti-hypertensive,Extract,676,Mix with honey,Antifungal,Drowsiness,Vata-Kapha,Vata
Guggul,Seed,Respiratory Issues,Anxiety,Mental Calmness,Capsules,605,Take with warm water,Hepatoprotective,Diarrhea,Vata-Pitta,Pitta
Triphala,Bark,Respiratory Issues,Cough,Detoxification,Oil,405,Take before sleep,Antiviral,Mild Nausea,Vata-Pitta,Pitta
Ashwagandha,Root,Mental Stress,Fever,Anti-hypertensive,Decoction,884,Take with warm water,Anti-inflammatory,Mild Nausea,Kapha,Pitta
Triphala,Flower,Inflammation,Indigestion,Mental Calmness,Churna,263,Apply externally,Analgesic,Mild Nausea,Pitta-Kapha,Vata
Ashwagandha,Fruit,Digestive Disorders,Fever,Mental Calmness,Churna,706,Take with warm water,Antibacterial,Diarrhea,Vata,Kapha
Shatavari,Leaf,Liver Disorders,Fatigue,Anti-inflammatory,Churna,911,Take before sleep,Antipyretic,Stomach Upset,Vata-Kapha,Vata
Brahmi,Seed,Mental Stress,Fatigue,Mental Calmness,Capsules,501,Take with warm water,Antipyretic,Stomach Upset,Pitta-Kapha,Vata
Haritaki,Flower,Skin Diseases,Fatigue,Anti-inflammatory,Powder,748,Take on an empty stomach,Anti-inflammatory,Diarrhea,Tridosha,Pitta
Guggul,Bark,Skin Diseases,Anxiety,Anti-inflammatory,Churna,236,Take twice daily,Antifungal,Mild Nausea,Pitta,Pitta
Amla,Bark,Inflammation,Breathing Difficulty,Immune Booster,Capsules,815,Mix with honey,Antifungal,Mild Nausea,Pitta,Vata
Haritaki,Seed,Diabetes,Anxiety,Immune Booster,Powder,619,Take before sleep,Hepatoprotective,Diarrhea,Vata,Pitta
Guggul,Flower,Arthritis,Headache,Immune Booster,Powder,896,Take before sleep,Antipyretic,Drowsiness,Vata,Vata
Shatavari,Root,Digestive Disorders,Indigestion,Adaptogen,Tablets,936,Take with warm water,Antibacterial,Allergic Reaction,Vata,Pitta
Manjistha,Flower,Hypertension,Headache,Mental Calmness,Churna,512,Mix with honey,Hypoglycemic,Diarrhea,Vata,Kapha
Tulsi,Seed,Diabetes,Fever,Antioxidant,Tablets,687,Take with warm water,Adaptogenic,Stomach Upset,Pitta-Kapha,Vata
Guggul,Fruit,Arthritis,Breathing Difficulty,Antiseptic,Extract,974,Take with warm water,Antipyretic,Headache,Kapha,Pitta
Neem,Fruit,Mental Stress,Fatigue,Antiseptic,Oil,812,Consume after meals,Adaptogenic,Headache,Pitta,Pitta
Ashwagandha,Bark,Diabetes,Anxiety,Anti-inflammatory,Tablets,857,Take on an empty stomach,Antiviral,Headache,Vata-Kapha,Kapha
Brahmi,Root,Arthritis,Stress,Immune Booster,Powder,526,Take with warm water,Adaptogenic,Stomach Upset,Pitta,Kapha
Brahmi,Leaf,Skin Diseases,Anxiety,Immune Booster,Extract,347,Mix with honey,Hypoglycemic,Mild Nausea,Tridosha,Vata
Ashwagandha,Leaf,Skin Diseases,Breathing Difficulty,Immune Booster,Decoction,131,Consume after meals,Antibacterial,None,Pitta,Vata
Guggul,Root,Skin Diseases,Anxiety,Detoxification,Capsules,893,Mix with honey,Anti-hypertensive,Stomach Upset,Kapha,Vata
Tulsi,Seed,Mental Stress,Headache,Antiseptic,Tablets,809,Apply externally,Hepatoprotective,Stomach Upset,Kapha,Kapha
Triphala,Fruit,Liver Disorders,Joint Pain,Digestive Aid,Juice,310,Mix with honey,Antibacterial,Mild Nausea,Vata-Kapha,Vata
Manjistha,Leaf,Respiratory Issues,Fever,Adaptogen,Decoction,216,Apply externally,Hypoglycemic,Headache,Vata-Pitta,Kapha
Triphala,Seed,Hypertension,Inflammation,Detoxification,Oil,280,Take on an empty stomach,Antifungal,None,Pitta-Kapha,Kapha
Haritaki,Flower,Respiratory Issues,Anxiety,Detoxification,Extract,376,Consume after meals,Adaptogenic,Allergic Reaction,Vata-Kapha,Pitta
Shatavari,Bark,Hypertension,Stress,Mental Calmness,Juice,866,Mix with honey,Antipyretic,Stomach Upset,Vata-Kapha,Kapha
Neem,Root,Arthritis,Skin Rashes,Anti-hypertensive,Decoction,147,Mix with honey,Anti-inflammatory,Drowsiness,Pitta-Kapha,Pitta
Haritaki,Bark,Mental Stress,Cough,Anti-hypertensive,Powder,473,Take before sleep,Analgesic,Allergic Reaction,Vata,Vata
Manjistha,Root,Digestive Disorders,Fatigue,Detoxification,Powder,156,Mix with honey,Hypoglycemic,None,Tridosha,Vata
Haritaki,Bark,Liver Disorders,Headache,Antiseptic,Powder,318,Take with warm water,Anti-inflammatory,Mild Nausea,Tridosha,Kapha
Shatavari,Seed,Digestive Disorders,High Blood Pressure,Adaptogen,Oil,139,Take before sleep,Adaptogenic,Diarrhea,Tridosha,Pitta
Haritaki,Bark,Inflammation,High Blood Pressure,Detoxification,Juice,679,Apply externally,Antifungal,Stomach Upset,Vata-Pitta,Vata
Neem,Flower,Respiratory Issues,High Blood Pressure,Adaptogen,Capsules,517,Take with warm water,Antibacterial,Stomach Upset,Kapha,Kapha
Shatavari,Root,Mental Stress,Fatigue,Mental Calmness,Tablets,487,Mix with honey,Anti-inflammatory,None,Vata,Kapha
Ashwagandha,Root,Arthritis,Headache,Mental Calmness,Decoction,406,Take before sleep,Antibacterial,Mild Nausea,Kapha,Kapha
Manjistha,Leaf,Hypertension,Joint Pain,Detoxification,Extract,341,Apply externally,Hypoglycemic,Drowsiness,Vata-Kapha,Kapha
Manjistha,Seed,Digestive Disorders,Cough,Antioxidant,Tablets,738,Apply externally,Antifungal,None,Pitta,Pitta
Shatavari,Flower,Arthritis,Breathing Difficulty,Mental Calmness,Powder,658,Take on an empty stomach,Hypoglycemic,Headache,Pitta,Kapha
Brahmi,Flower,Digestive Disorders,High Blood Pressure,Antiseptic,Capsules,473,Take before sleep,Anti-inflammatory,Stomach Upset,Kapha,Kapha
Triphala,Bark,Digestive Disorders,Skin Rashes,Immune Booster,Oil,201,Take before sleep,Antibacterial,Headache,Tridosha,Kapha
Neem,Flower,Arthritis,Fatigue,Anti-inflammatory,Capsules,958,Take with warm water,Antipyretic,None,Kapha,Kapha
Ashwagandha,Flower,Inflammation,Breathing Difficulty,Anti-inflammatory,Decoction,605,Apply externally,Anti-hypertensive,Diarrhea,Tridosha,Kapha
Neem,Flower,Respiratory Issues,Joint Pain,Antioxidant,Decoction,627,Mix with honey,Antifungal,Stomach Upset,Vata-Kapha,Vata
Neem,Root,Liver Disorders,Anxiety,Detoxification,Decoction,819,Take on an empty stomach,Antibacterial,Diarrhea,Tridosha,Pitta
Tulsi,Leaf,Skin Diseases,High Blood Pressure,Detoxification,Tablets,651,Take before sleep,Analgesic,Drowsiness,Vata-Pitta,Kapha
Amla,Root,Hypertension,Inflammation,Detoxification,Oil,482,Take before sleep,Adaptogenic,Stomach Upset,Vata-Pitta,Pitta
Manjistha,Leaf,Inflammation,Skin Rashes,Immune Booster,Capsules,230,Take twice daily,Hepatoprotective,Mild Nausea,Vata-Kapha,Vata
Shatavari,Root,Hypertension,Fever,Mental Calmness,Extract,927,Take with warm water,Analgesic,Drowsiness,Vata-Pitta,Pitta
Ashwagandha,Flower,Mental Stress,High Blood Pressure,Digestive Aid,Capsules,980,Apply externally,Hepatoprotective,Allergic Reaction,Pitta-Kapha,Kapha
Ashwagandha,Seed,Digestive Disorders,Stress,Immune Booster,Oil,278,Apply externally,Anti-hypertensive,Mild Nausea,Vata-Kapha,Pitta
Manjistha,Flower,Digestive Disorders,Fever,Digestive Aid,Tablets,398,Take before sleep,Anti-hypertensive,Allergic Reaction,Kapha,Kapha
Haritaki,Flower,Mental Stress,Stress,Digestive Aid,Capsules,840,Take before sleep,Anti-hypertensive,Headache,Kapha,Pitta
Brahmi,Fruit,Digestive Disorders,Fever,Anti-hypertensive,Oil,263,Take before sleep,Antifungal,Drowsiness,Pitta-Kapha,Pitta
Amla,Leaf,Respiratory Issues,High Blood Pressure,Anti-inflammatory,Churna,609,Take before sleep,Antifungal,Allergic Reaction,Pitta-Kapha,Kapha
Guggul,Leaf,Arthritis,Stress,Immune Booster,Extract,752,Take before sleep,Anti-inflammatory,None,Vata-Pitta,Vata
Ashwagandha,Root,Liver Disorders,Skin Rashes,Mental Calmness,Extract,228,Apply externally,Analgesic,Drowsiness,Kapha,Pitta
Guggul,Leaf,Inflammation,Stress,Antioxidant,Churna,311,Consume after meals,Hypoglycemic,Drowsiness,Pitta,Kapha
Neem,Fruit,Arthritis,Anxiety,Anti-inflammatory,Extract,454,Take before sleep,Antiviral,Allergic Reaction,Vata-Pitta,Pitta
Brahmi,Seed,Hypertension,Cough,Adaptogen,Tablets,111,Take on an empty stomach,Antiviral,Allergic Reaction,Tridosha,Vata
Guggul,Flower,Respiratory Issues,Anxiety,Adaptogen,Tablets,469,Mix with honey,Adaptogenic,Stomach Upset,Vata-Pitta,Vata
Amla,Flower,Skin Diseases,Inflammation,Detoxification,Tablets,513,Take before sleep,Antiviral,Headache,Kapha,Vata
Ashwagandha,Fruit,Digestive Disorders,Joint Pain,Anti-inflammatory,Powder,463,Take twice daily,Anti-inflammatory,Stomach Upset,Kapha,Kapha
Haritaki,Leaf,Liver Disorders,Headache,Antioxidant,Extract,319,Take twice daily,Antiviral,None,Kapha,Pitta
Haritaki,Bark,Digestive Disorders,Headache,Anti-hypertensive,Extract,822,Consume after meals,Antiviral,None,Kapha,Pitta
Shatavari,Seed,Mental Stress,Skin Rashes,Antioxidant,Juice,345,Consume after meals,Analgesic,Headache,Pitta,Pitta
Triphala,Flower,Digestive Disorders,Fever,Mental Calmness,Extract,498,Consume after meals,Anti-inflammatory,Diarrhea,Vata-Pitta,Kapha
Shatavari,Fruit,Inflammation,Breathing Difficulty,Adaptogen,Tablets,681,Take twice daily,Antipyretic,Diarrhea,Vata-Pitta,Pitta
Amla,Root,Respiratory Issues,Stress,Immune Booster,Capsules,347,Mix with honey,Antiviral,Headache,Vata-Pitta,Vata
Amla,Fruit,Hypertension,Stress,Antiseptic,Churna,146,Take twice daily,Antifungal,Drowsiness,Vata-Pitta,Pitta
Guggul,Seed,Diabetes,Cough,Antiseptic,Tablets,236,Take twice daily,Antifungal,Allergic Reaction,Pitta-Kapha,Vata
Haritaki,Root,Digestive Disorders,Breathing Difficulty,Antiseptic,Powder,869,Take on an empty stomach,Hepatoprotective,Stomach Upset,Pitta,Kapha
Triphala,Bark,Hypertension,Cough,Digestive Aid,Juice,770,Apply externally,Analgesic,Mild Nausea,Vata-Kapha,Pitta
Brahmi,Bark,Mental Stress,Skin Rashes,Adaptogen,Decoction,857,Take on an empty stomach,Adaptogenic,Diarrhea,Pitta,Kapha
Neem,Flower,Digestive Disorders,Fatigue,Antioxidant,Powder,853,Consume after meals,Hepatoprotective,None,Vata-Kapha,Vata
Triphala,Fruit,Skin Diseases,Joint Pain,Antiseptic,Tablets,674,Take with warm water,Antifungal,Headache,Vata-Pitta,Pitta
Brahmi,Leaf,Digestive Disorders,Joint Pain,Anti-inflammatory,Oil,192,Take with warm water,Anti-hypertensive,Diarrhea,Vata,Vata
Manjistha,Seed,Arthritis,Fatigue,Antiseptic,Powder,365,Mix with honey,Antiviral,None,Pitta-Kapha,Vata
Shatavari,Root,Mental Stress,Anxiety,Anti-hypertensive,Capsules,868,Take twice daily,Antifungal,Diarrhea,Pitta,Vata
Tulsi,Bark,Skin Diseases,Joint Pain,Anti-inflammatory,Powder,723,Apply externally,Antiviral,Allergic Reaction,Vata-Kapha,Vata
Haritaki,Bark,Skin Diseases,Stress,Antioxidant,Powder,566,Take with warm water,Hepatoprotective,Drowsiness,Kapha,Pitta
Haritaki,Flower,Respiratory Issues,Anxiety,Antioxidant,Juice,953,Take before sleep,Anti-inflammatory,Diarrhea,Tridosha,Pitta
Haritaki,Leaf,Hypertension,Inflammation,Antiseptic,Juice,400,Take before sleep,Hypoglycemic,Stomach Upset,Vata-Kapha,Vata
Manjistha,Bark,Liver Disorders,Headache,Adaptogen,Oil,195,Take with warm water,Adaptogenic,Allergic Reaction,Tridosha,Kapha
Amla,Root,Hypertension,Headache,Digestive Aid,Capsules,386,Take before sleep,Adaptogenic,Allergic Reaction,Pitta,Vata
Neem,Bark,Inflammation,Joint Pain,Anti-inflammatory,Decoction,620,Take twice daily,Antibacterial,Headache,Vata,Kapha
Guggul,Bark,Arthritis,Fever,Immune Booster,Capsules,894,Take twice daily,Hepatoprotective,Headache,Tridosha,Vata
Amla,Leaf,Skin Diseases,Stress,Antiseptic,Decoction,979,Take before sleep,Analgesic,None,Kapha,Pitta
Tulsi,Fruit,Mental Stress,Inflammation,Mental Calmness,Tablets,488,Take before sleep,Anti-inflammatory,Stomach Upset,Tridosha,Pitta
Ashwagandha,Root,Mental Stress,Indigestion,Mental Calmness,Tablets,323,Take on an empty stomach,Hypoglycemic,Headache,Vata,Pitta
Manjistha,Flower,Skin Diseases,Skin Rashes,Digestive Aid,Decoction,616,Mix with honey,Antiviral,Stomach Upset,Pitta,Vata
Manjistha,Fruit,Liver Disorders,Fatigue,Antiseptic,Powder,458,Take before sleep,Antiviral,Mild Nausea,Vata-Pitta,Pitta
Manjistha,Fruit,Mental Stress,Joint Pain,Digestive Aid,Extract,745,Take on an empty stomach,Analgesic,Stomach Upset,Vata,Pitta
Ashwagandha,Flower,Arthritis,Cough,Anti-hypertensive,Capsules,227,Take twice daily,Anti-inflammatory,None,Pitta,Kapha
Ashwagandha,Flower,Inflammation,Headache,Anti-inflammatory,Oil,811,Take twice daily,Antipyretic,None,Vata-Pitta,Kapha
Amla,Flower,Respiratory Issues,Stress,Immune Booster,Extract,734,Consume after meals,Antifungal,Allergic Reaction,Tridosha,Kapha
Amla,Flower,Hypertension,Skin Rashes,Detoxification,Churna,754,Take on an empty stomach,Antipyretic,Stomach Upset,Vata-Pitta,Vata
Ashwagandha,Root,Liver Disorders,Inflammation,Anti-hypertensive,Tablets,812,Take twice daily,Anti-hypertensive,Allergic Reaction,Vata-Kapha,Pitta
Triphala,Bark,Inflammation,Breathing Difficulty,Antioxidant,Capsules,564,Mix with honey,Anti-hypertensive,None,Pitta-Kapha,Vata
Manjistha,Bark,Respiratory Issues,Inflammation,Mental Calmness,Extract,291,Take before sleep,Antibacterial,Diarrhea,Vata-Pitta,Kapha
Shatavari,Seed,Respiratory Issues,Anxiety,Anti-inflammatory,Decoction,281,Mix with honey,Adaptogenic,Allergic Reaction,Vata,Pitta
Shatavari,Seed,Digestive Disorders,High Blood Pressure,Anti-inflammatory,Tablets,592,Consume after meals,Hepatoprotective,Diarrhea,Vata-Kapha,Pitta
Tulsi,Flower,Hypertension,Skin Rashes,Anti-hypertensive,Tablets,724,Consume after meals,Antipyretic,Allergic Reaction,Pitta,Vata
Brahmi,Flower,Digestive Disorders,Breathing Difficulty,Anti-hypertensive,Oil,419,Apply externally,Antiviral,None,Pitta-Kapha,Pitta
Brahmi,Bark,Mental Stress,Anxiety,Detoxification,Decoction,454,Take on an empty stomach,Adaptogenic,Headache,Tridosha,Pitta
Guggul,Leaf,Inflammation,High Blood Pressure,Anti-hypertensive,Tablets,194,Take twice daily,Hypoglycemic,None,Vata,Kapha
Amla,Seed,Hypertension,Indigestion,Anti-hypertensive,Decoction,529,Take on an empty stomach,Anti-inflammatory,Allergic Reaction,Vata-Kapha,Pitta
Tulsi,Seed,Liver Disorders,Skin Rashes,Detoxification,Juice,815,Take before sleep,Antipyretic,Diarrhea,Vata,Pitta
Ashwagandha,Bark,Digestive Disorders,Stress,Immune Booster,Extract,642,Take on an empty stomach,Antipyretic,Stomach Upset,Tridosha,Pitta
Shatavari,Root,Respiratory Issues,Cough,Immune Booster,Oil,186,Take on an empty stomach,Antipyretic,Allergic Reaction,Vata-Pitta,Pitta
Guggul,Bark,Hypertension,Inflammation,Mental Calmness,Powder,357,Mix with honey,Hypoglycemic,None,Pitta-Kapha,Pitta
Ashwagandha,Fruit,Inflammation,Headache,Mental Calmness,Churna,625,Take with warm water,Hypoglycemic,Allergic Reaction,Vata-Kapha,Kapha
Amla,Root,Hypertension,Stress,Mental Calmness,Decoction,205,Apply externally,Hepatoprotective,Diarrhea,Vata,Vata
Haritaki,Fruit,Hypertension,Anxiety,Detoxification,Extract,280,Take before sleep,Antibacterial,Allergic Reaction,Vata-Kapha,Pitta
Haritaki,Root,Respiratory Issues,Skin Rashes,Mental Calmness,Decoction,697,Mix with honey,Antifungal,Stomach Upset,Pitta-Kapha,Kapha
Shatavari,Root,Skin Diseases,Inflammation,Anti-inflammatory,Capsules,511,Take on an empty stomach,Hypoglycemic,Mild Nausea,Vata,Pitta
Guggul,Flower,Diabetes,Anxiety,Mental Calmness,Powder,714,Consume after meals,Analgesic,Mild Nausea,Pitta-Kapha,Pitta
Triphala,Fruit,Hypertension,Fever,Detoxification,Oil,308,Take twice daily,Adaptogenic,Stomach Upset,Vata-Pitta,Kapha
Brahmi,Root,Arthritis,Cough,Mental Calmness,Decoction,750,Take on an empty stomach,Analgesic,Drowsiness,Kapha,Kapha
Neem,Seed,Mental Stress,Fever,Digestive Aid,Powder,115,Take twice daily,Antiviral,Diarrhea,Tridosha,Vata
Neem,Seed,Skin Diseases,Skin Rashes,Immune Booster,Capsules,582,Consume after meals,Antifungal,Mild Nausea,Pitta,Kapha
Neem,Seed,Skin Diseases,Skin Rashes,Adaptogen,Churna,846,Consume after meals,Anti-inflammatory,Allergic Reaction,Tridosha,Vata
Amla,Leaf,Hypertension,Joint Pain,Antiseptic,Powder,943,Mix with honey,Analgesic,Diarrhea,Vata-Kapha,Pitta
Amla,Fruit,Digestive Disorders,Joint Pain,Digestive Aid,Tablets,428,Consume after meals,Anti-inflammatory,Stomach Upset,Tridosha,Pitta
Brahmi,Flower,Hypertension,Skin Rashes,Anti-inflammatory,Decoction,637,Consume after meals,Anti-hypertensive,Headache,Pitta,Vata
Ashwagandha,Seed,Respiratory Issues,Inflammation,Adaptogen,Oil,245,Take on an empty stomach,Hypoglycemic,Allergic Reaction,Vata-Pitta,Kapha
Triphala,Seed,Inflammation,Fever,Antiseptic,Juice,305,Take on an empty stomach,Adaptogenic,Mild Nausea,Vata-Kapha,Kapha
Manjistha,Fruit,Skin Diseases,Headache,Anti-hypertensive,Extract,437,Apply externally,Antibacterial,Mild Nausea,Kapha,Vata
Haritaki,Fruit,Respiratory Issues,Stress,Antioxidant,Powder,479,Mix with honey,Antibacterial,Allergic Reaction,Vata-Kapha,Vata
Guggul,Root,Liver Disorders,Fever,Antiseptic,Oil,509,Apply externally,Antiviral,Diarrhea,Kapha,Pitta
Guggul,Root,Digestive Disorders,Indigestion,Anti-hypertensive,Extract,524,Take with warm water,Antiviral,Headache,Vata-Pitta,Vata
Triphala,Flower,Diabetes,Stress,Immune Booster,Tablets,931,Take with warm water,Hypoglycemic,None,Pitta,Pitta
Haritaki,Root,Diabetes,Cough,Adaptogen,Oil,587,Take twice daily,Anti-hypertensive,Mild Nausea,Tridosha,Kapha
Triphala,Leaf,Skin Diseases,Headache,Mental Calmness,Capsules,525,Take on an empty stomach,Hypoglycemic,Drowsiness,Pitta-Kapha,Vata
Brahmi,Bark,Diabetes,Anxiety,Adaptogen,Oil,947,Take with warm water,Antibacterial,None,Kapha,Pitta
Manjistha,Fruit,Inflammation,Indigestion,Detoxification,Capsules,677,Apply externally,Anti-inflammatory,Mild Nausea,Vata-Kapha,Pitta
Neem,Fruit,Arthritis,Breathing Difficulty,Detoxification,Powder,447,Take before sleep,Hypoglycemic,Headache,Vata-Kapha,Vata
Manjistha,Flower,Digestive Disorders,Stress,Detoxification,Decoction,238,Take with warm water,Anti-inflammatory,Drowsiness,Kapha,Pitta
Triphala,Flower,Hypertension,Cough,Immune Booster,Extract,676,Apply externally,Anti-inflammatory,Mild Nausea,Vata-Pitta,Pitta
Shatavari,Fruit,Liver Disorders,Inflammation,Mental Calmness,Juice,509,Consume after meals,Analgesic,Stomach Upset,Kapha,Kapha
Haritaki,Fruit,Mental Stress,Headache,Immune Booster,Tablets,456,Take before sleep,Analgesic,Mild Nausea,Vata-Kapha,Vata
Tulsi,Root,Hypertension,Fever,Immune Booster,Powder,409,Take on an empty stomach,Analgesic,Allergic Reaction,Vata-Kapha,Vata
Tulsi,Seed,Arthritis,High Blood Pressure,Anti-inflammatory,Decoction,248,Take with warm water,Anti-inflammatory,Allergic Reaction,Pitta-Kapha,Vata
Triphala,Root,Diabetes,Joint Pain,Anti-hypertensive,Tablets,978,Take twice daily,Antipyretic,None,Vata-Pitta,Pitta
Ashwagandha,Fruit,Skin Diseases,Indigestion,Mental Calmness,Juice,974,Consume after meals,Anti-hypertensive,None,Kapha,Kapha
Brahmi,Leaf,Arthritis,Cough,Detoxification,Oil,790,Take on an empty stomach,Adaptogenic,Drowsiness,Pitta,Kapha
Tulsi,Fruit,Respiratory Issues,Indigestion,Detoxification,Churna,335,Mix with honey,Antibacterial,Mild Nausea,Pitta-Kapha,Pitta
Guggul,Bark,Arthritis,Headache,Antiseptic,Oil,470,Mix with honey,Adaptogenic,Mild Nausea,Vata,Pitta
Amla,Root,Liver Disorders,Cough,Adaptogen,Tablets,269,Mix with honey,Adaptogenic,Headache,Vata-Kapha,Vata
Triphala,Fruit,Liver Disorders,Headache,Digestive Aid,Capsules,356,Take with warm water,Antiviral,Stomach Upset,Tridosha,Kapha
Neem,Fruit,Liver Disorders,Fatigue,Anti-inflammatory,Decoction,529,Apply externally,Adaptogenic,Allergic Reaction,Pitta-Kapha,Pitta
Amla,Leaf,Inflammation,Joint Pain,Detoxification,Tablets,122,Apply externally,Anti-inflammatory,Drowsiness,Kapha,Kapha
Neem,Flower,Mental Stress,Anxiety,Immune Booster,Decoction,431,Take twice daily,Antiviral,Allergic Reaction,Vata-Kapha,Pitta
Guggul,Flower,Digestive Disorders,Fever,Antiseptic,Capsules,408,Take with warm water,Analgesic,None,Pitta-Kapha,Vata
Triphala,Bark,Skin Diseases,Cough,Mental Calmness,Decoction,648,Take with warm water,Antipyretic,None,Vata,Pitta
Guggul,Leaf,Hypertension,Stress,Antioxidant,Extract,766,Take on an empty stomach,Adaptogenic,None,Vata-Kapha,Vata
Haritaki,Seed,Inflammation,Anxiety,Adaptogen,Powder,705,Take on an empty stomach,Antifungal,None,Vata-Pitta,Kapha
Guggul,Bark,Liver Disorders,Fever,Detoxification,Tablets,679,Mix with honey,Anti-hypertensive,Diarrhea,Vata-Pitta,Vata
Triphala,Bark,Hypertension,Joint Pain,Anti-inflammatory,Extract,799,Mix with honey,Adaptogenic,Stomach Upset,Pitta-Kapha,Pitta
